area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up Area,Ready To Move,Alkapuri,3 BHK,Alkapuri Heights,1650,3,2,110
Built-up Area,Ready To Move,Akota,2 Bedroom,Akota Residency,1250,2,1,68
Super built-up Area,Under Construction,Gotri,3 BHK,Gotri Greens,1750 Sq.  Foot,3,2,82
Built-up Area,Ready To Move,Manjalpur,2 BHK,Manjalpur Palace,1180,2,2,55
Super built-up Area,Ready To Move,Vasna Road,4 BHK,Vasna Elite,2400,4,3,160
Carpet Area,Ready To Move,Karelibaug,2 BHK,Karelibaug Residency,1100,2,1,52
Super built-up Area,Under Construction,Sevasi,3 BHK,Sevasi Sky,1825,3,2,null
Built-up Area,Ready To Move,Bhayli,3 BHK,Bhayli Paradise,1700,3,2,88
Carpet Area,Ready To Move,Sama,2 BHK,Sama Residency,1050,2,1,49
Super built-up Area,Ready To Move,New VIP Road,3 BHK,VIP Heights,1600,3,2,80
plot-area,under Construction,Samta,3 Bedroom,Sky heights,4500,3,4,null
Super built-up Area,Ready To Move,Bhayli Road,4 BHK,Bhayli Elite,400,4,3,160
Carpet Area,Ready To Move,Savli,2 BHK,Savli Residency,550-750,2,1,100
Super built-up Area,Ready To Move,Vasna Road,4 BHK,Vasna Elite,2400,4,3,150
Super built-up Area,Ready To Move,Savli,4 BHK,Hans Elite,1400,4,3,120
Super built-up Area,Ready To Move,Vasna Road,4 BHK,Shree Elite,3400,4,3,115
Super built-up Area,Ready To Move,Vasna Road,4 BHK,Vasna Harmony,2300,4,3,190
